model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophetNB,total,50,0.66,1,False,0.91,0.46913580246913583,0.6129032258064516,0.38
fbprophet,total,50,0,1,False,0.91,0.22988505747126434,0.12987012987012986,1.0
fbprophetGamma,total,50,0,1,False,0.91,1.0,1.0,1.0
fbprophetNB,total,50,0,1,False,0.91,1.0,1.0,1.0
fbprophet,total,50,0,3,True,0.91,0.6048387096774194,0.43352601156069365,1.0
fbprophetGamma,total,50,0,3,True,0.91,0.9797297297297298,0.9931506849315068,0.9666666666666667
fbprophetNB,total,50,0,3,True,0.91,1.0,1.0,1.0
fbprophet,seat,50,0.833,1,False,0.91,0.05597964376590331,0.029891304347826088,0.44
fbprophetGamma,seat,50,0.833,1,False,0.91,0.14814814814814814,1.0,0.08
fbprophetNB,seat,50,0.833,1,False,0.91,0.03448275862068966,0.125,0.02
fbprophet,seat,50,0.66,1,False,0.91,0.10592686002522068,0.05652759084791386,0.84
fbprophetGamma,seat,50,0.66,1,False,0.91,0.3870967741935484,1.0,0.24
fbprophetNB,seat,50,0.66,1,False,0.91,0.4931506849315068,0.782608695652174,0.36
fbprophet,seat,50,0,1,False,0.91,0.18484288354898337,0.10183299389002037,1.0
fbprophetGamma,seat,50,0,1,False,0.91,0.98989898989899,1.0,0.98
fbprophetNB,seat,50,0,1,False,0.91,1.0,1.0,1.0
fbprophet,seat,50,0,3,True,0.91,0.6109979633401221,0.4398826979472141,1.0
fbprophetGamma,seat,50,0,3,True,0.91,0.9646302250803859,0.9316770186335404,1.0
fbprophetNB,seat,50,0,3,True,0.91,1.0,1.0,1.0
fbprophet,gift_certificate,50,0.833,1,False,0.91,0.0,0.0,0.0
fbprophetGamma,gift_certificate,50,0.833,1,False,0.91,0.00977198697068404,0.005319148936170213,0.06
fbprophetNB,gift_certificate,50,0.833,1,False,0.91,0.03424657534246576,0.018726591760299626,0.2
fbprophet,gift_certificate,50,0.66,1,False,0.91,0.0,0.0,0.0
fbprophetGamma,gift_certificate,50,0.66,1,False,0.91,0.006578947368421052,0.0035842293906810036,0.04
fbprophetNB,gift_certificate,50,0.66,1,False,0.91,0.03103448275862069,0.016981132075471698,0.18
fbprophet,gift_certificate,50,0,1,False,0.91,0.09876543209876543,0.12903225806451613,0.08
fbprophetGamma,gift_certificate,50,0,1,False,0.91,0.07779578606158832,0.042328042328042326,0.48
fbprophetNB,gift_certificate,50,0,1,False,0.91,0.11149825783972125,0.061068702290076333,0.64
fbprophet,gift_certificate,50,0,3,True,0.91,0.43062200956937796,0.7627118644067796,0.3
fbprophetGamma,gift_certificate,50,0,3,True,0.91,0.3220125786163522,0.19844961240310077,0.8533333333333334
fbprophetNB,gift_certificate,50,0,3,True,0.91,0.33602150537634407,0.21043771043771045,0.8333333333333334
fbprophet,"('AAQ-DME', 'auto_checkin')",50,0.833,1,False,0.91,0.011834319526627219,0.008403361344537815,0.02
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",50,0.833,1,False,0.91,0.011121408711770156,0.0056925996204933585,0.24
fbprophetNB,"('AAQ-DME', 'auto_checkin')",50,0.833,1,False,0.91,0.012396694214876033,0.006419400855920114,0.18
fbprophet,"('AAQ-DME', 'auto_checkin')",50,0.66,1,False,0.91,0.0,0.0,0.0
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",50,0.66,1,False,0.91,0.0074836295603367626,0.0038314176245210726,0.16
fbprophetNB,"('AAQ-DME', 'auto_checkin')",50,0.66,1,False,0.91,0.015873015873015876,0.008233532934131737,0.22
fbprophet,"('AAQ-DME', 'auto_checkin')",50,0,1,False,0.91,0.012499999999999999,0.00909090909090909,0.02
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",50,0,1,False,0.91,0.022419430172816442,0.011477761836441894,0.48
fbprophetNB,"('AAQ-DME', 'auto_checkin')",50,0,1,False,0.91,0.040249826509368494,0.020848310567936738,0.58
fbprophet,"('AAQ-DME', 'auto_checkin')",50,0,3,True,0.91,0.0326530612244898,0.042105263157894736,0.02666666666666667
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",50,0,3,True,0.91,0.09973980919340851,0.05333951762523191,0.7666666666666667
fbprophetNB,"('AAQ-DME', 'auto_checkin')",50,0,3,True,0.91,0.13633355393778954,0.07567964731814843,0.6866666666666666
fbprophet,"('DME-GDZ', 'auto_checkin')",50,0.833,1,False,0.91,0.0,0.0,0.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",50,0.833,1,False,0.91,0.009486166007905137,0.004838709677419355,0.24
fbprophetNB,"('DME-GDZ', 'auto_checkin')",50,0.833,1,False,0.91,0.01658767772511848,0.008816120906801008,0.14
fbprophet,"('DME-GDZ', 'auto_checkin')",50,0.66,1,False,0.91,0.0,0.0,0.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",50,0.66,1,False,0.91,0.009382329945269741,0.004784688995215311,0.24
fbprophetNB,"('DME-GDZ', 'auto_checkin')",50,0.66,1,False,0.91,0.009535160905840286,0.005069708491761723,0.08
fbprophet,"('DME-GDZ', 'auto_checkin')",50,0,1,False,0.91,0.0,0.0,0.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",50,0,1,False,0.91,0.016489988221436984,0.00841009211053264,0.42
fbprophetNB,"('DME-GDZ', 'auto_checkin')",50,0,1,False,0.91,0.03290246768507639,0.017478152309612985,0.28
fbprophet,"('DME-GDZ', 'auto_checkin')",50,0,3,True,0.91,0.0,0.0,0.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",50,0,3,True,0.91,0.08105147864184008,0.04287369640787949,0.74
